"Record ID","Catalogue Number","Taxon Concept GUID","Scientific Name - original","Vernacular name - original","Scientific Name","Taxon Rank","Vernacular name","Kingdom","Phylum","Class","Order","Family","Genus","Species","Subspecies","Data Resource ID","Data Resource Name","Institution ID","Institution","Collection ID","Collection","Licence","Institution Code","Collection Code","Locality","Latitude - original","Longitude - original","Geodetic datum - original","Latitude","Longitude","Coordinate Precision","Coordinate Uncertainty in Metres","Country - parsed","State - parsed","Local Government Areas 2011","IMCRA 4 Regions","IBRA 7 Regions","Minimum elevation in meters","Maximum elevation in meters","Minimum depth in meters","Maximum depth in meters","Individual count","Collector","Year","Month","Day","Event Date - parsed","Verbatim event date","Basis Of Record - original","Basis Of Record","Occurrence status","Sex","Preparations","Outlier for layer","Taxonomic Quality","Location Quality"
"c19a7d79-ce05-42ce-ba11-9fdd97bdf784","","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","""Elanus scriptus""","""Letter-winged Kite""","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr571","First Bird Atlas","","","","","CC-BY-NC","","","","-36.58","142.58","","-36.58","142.58","","9000.0","Australia","Victoria","Yarriambiack (S)","","Murray Darling Depression","","","","","","","","","","","","","HumanObservation","present","","","","true","true"
"c174cca2-4ccb-4200-8e72-ede67982d4b1","","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","","Letter-winged Kite","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr570","Historical Bird Atlas","","","","","CC-BY-NC","","","","-33.1","138.1","","-33.1","138.1","","4500.0","Australia","South Australia","Mount Remarkable (DC)","","Eyre Yorke Block","","","","","","","","","","","","","HumanObservation","present","","","","true","true"
"c1708982-ac0e-4e60-973c-71396e246f68","A.11858","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","Elanus scriptus Gould, 1842","Letter-winged Kite","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr340","Australian Museum provider for OZCAM","in4","Australian Museum","co11","Australian Museum Ornithology Collection","CC-BY","AM","Ornithology","","-33.866","144.866","","-33.866","144.866","","100000.0","Australia","New South Wales","Hay (A)","","Riverina","","","","","","BENNETT, K. H.","","","","","","PreservedSpecimen","PreservedSpecimen","present","Female","","","true","true"
"c1463a5f-113a-44c1-9e09-034f5cc40f2e","","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","Elanus scriptus","LETTER-WINGED KITE","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr1089","New South Wales Bird Atlassers","","","","","CC-BY","","","","","","","-35.416664","144.25","","","Australia","New South Wales","Wakool (A)","","Riverina","","","","","","23002","1977","","","1977-10-01","","","HumanObservation","present","","","","true","true"
"c0eab050-ff74-4951-ad04-98f32dec4289","","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","""Elanus scriptus""","""Letter-winged Kite""","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr571","First Bird Atlas","","","","","CC-BY-NC","","","","-24.50","135.50","","-24.5","135.5","","54000.0","Australia","Northern Territory","MacDonnell (S)","","Simpson Strzelecki Dunefields","","","","","","","","","","","","","HumanObservation","present","","","","true","true"
"c0e1ed78-a074-42e6-9f59-ab1d94ac64e7","OPB843586-21","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","","Letter-winged Kite","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr365","SA Fauna (BDBSA)","","","","","CC-BY 4.0 (Int)","","","","-29.2","140.1","WGS84","-29.2","140.1","","10050.0","Australia","South Australia","Unincorporated SA","","Simpson Strzelecki Dunefields","","","","","1","RUDDER A.C. Ashwin | ROGERS A.M. Andrew | GIBSON M. Michelle | SPENCER R. Rob","","","","","","","HumanObservation","present","","","","true","true"
"c0819167-b890-4423-98ad-06ea65595419","OPB311019-1203277","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","","Letter-winged Kite","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr365","SA Fauna (BDBSA)","","","","","CC-BY 4.0 (Int)","","","","-37.6","140.2","WGS84","-37.6","140.2","","11000.0","Australia","South Australia","Wattle Range (DC)","","Naracoorte Coastal Plain","","","","","1","SA ORNITHOLOGICAL ASSOCIATION  SAOA","","","","","","","HumanObservation","present","","","","true","true"
"c068b838-c2b9-4590-ad48-d49c62de3fd3","","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","","Letter-winged Kite","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr570","Historical Bird Atlas","","","","","CC-BY-NC","","","","-28.1","140.2","","-28.1","140.2","","27000.0","Australia","South Australia","Unincorporated SA","","Channel Country","","","","","","","","","","","","","HumanObservation","present","","","","true","true"
"c04fdb70-c079-454b-b8c9-f9546bb64caf","","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","""Elanus scriptus""","""Letter-winged Kite""","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr571","First Bird Atlas","","","","","CC-BY-NC","","","","-36.75","142.08","","-36.75","142.08","","9000.0","Australia","Victoria","Horsham (RC)","","Murray Darling Depression","","","","","","","","","","","","","HumanObservation","present","","","","true","true"
"c007fd6b-2216-4d63-a498-6628c8812ab9","OPB311097-1202016","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","","Letter-winged Kite","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr365","SA Fauna (BDBSA)","","","","","CC-BY 4.0 (Int)","","","","-35.4","140.4","WGS84","-35.4","140.4","","20000.0","Australia","South Australia","Southern Mallee (DC)","","Murray Darling Depression","","","","","20","SA ORNITHOLOGICAL ASSOCIATION  SAOA","","","","","","","HumanObservation","present","","","","true","true"
"bf55339e-2845-4b38-8a10-867358da1f7b","","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","Elanus scriptus","Letter-winged Kite","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr570","Historical Bird Atlas","","","","","CC-BY-NC","","","","-25.76","141.33","","-25.76","141.33","","900.0","Australia","Queensland","Barcoo (S)","","Channel Country","","","","","","","","","","","","","HumanObservation","present","","","","true","true"
"bf52c42e-f734-4ca4-994d-3bcd5e55137a","","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","Elanus scriptus","Letter-winged Kite","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr570","Historical Bird Atlas","","","","","CC-BY-NC","","","","-36.41","148.91","","-36.41","148.91","","9000.0","Australia","New South Wales","Snowy River (A)","","South Eastern Highlands","","","","","","","","","","","","","HumanObservation","present","","","","true","true"
"bf322e8b-2369-495a-86ec-67d1fb70ea83","","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","""Elanus scriptus""","""Letter-winged Kite""","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr571","First Bird Atlas","","","","","CC-BY-NC","","","","-34.41","143.41","","-34.41","143.41","","9000.0","Australia","New South Wales","Balranald (A)","","Riverina","","","","","","","","","","","","","HumanObservation","present","","","","true","true"
"be5f1670-0175-4114-a3f4-2d095b8b9eab","","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","Elanus scriptus","Letter-winged Kite","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr570","Historical Bird Atlas","","","","","CC-BY-NC","","","","-33.75","151.25","","-33.75","151.25","","9000.0","Australia","New South Wales","Warringah (A)","","Sydney Basin","","","","","","","","","","","","","HumanObservation","present","","","","true","true"
"bdcc1818-042a-4e90-8d2c-8b2dfb028a0c","","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","Elanus scriptus","LETTER-WINGED KITE","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr1089","New South Wales Bird Atlassers","","","","","CC-BY","","","BERRIMA BEHIND POLICE STATION","","","","-34.416664","150.41667","","","Australia","New South Wales","Wingecarribee (A)","","Sydney Basin","","","","","","20021","1988","","","1988-02-01","","","HumanObservation","present","","","","true","true"
"bdb4cd99-79e1-4249-b326-77b34975122e","","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","Elanus scriptus","Letter-winged Kite","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr570","Historical Bird Atlas","","","","","CC-BY-NC","","","","-27.46","152.08","","-27.46","152.08","","18000.0","Australia","Queensland","Lockyer Valley (R)","","South Eastern Queensland","","","","","","","","","","","","","HumanObservation","present","","","","true","true"
"bd727239-569d-4697-b75e-7eca7a988085","","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","Elanus scriptus","Letter-winged Kite","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr359","BirdLife Australia, Birdata","","","","","CC-BY-NC","","","Alexandria Station Bore 81","-19.62278","137.15390","","-19.62278","137.1539","","100.0","Australia","Northern Territory","Barkly (S)","","Mitchell Grass Downs","","","","","","","","","15","","","","HumanObservation","present","","","","true","true"
"bd04d6e1-604a-48a1-828c-6e5dd45de766","","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","""Elanus scriptus""","""Letter-winged Kite""","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr571","First Bird Atlas","","","","","CC-BY-NC","","","","-12.25","136.75","","-12.25","136.75","","9000.0","Australia","Northern Territory","","Northern Shelf Province","","","","","","","","","","","","","","HumanObservation","present","","","","true","false"
"bca6951a-76d7-4a0b-a464-4248a575e97b","","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","","Letter-winged Kite","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr570","Historical Bird Atlas","","","","","CC-BY-NC","","","","-30.5","116.5","","-30.5","116.5","","54000.0","Australia","Western Australia","Moora (S)","","Avon Wheatbelt","","","","","","","","","","","","","HumanObservation","present","","","","true","true"
"bb2b5ead-33c4-4b68-afdf-8a1859dc82cb","","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","Elanus scriptus","LETTER-WINGED KITE","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr1089","New South Wales Bird Atlassers","","","","","CC-BY","","","","","","","-29.416666","149.75","","","Australia","New South Wales","Moree Plains (A)","","Darling Riverine Plains","","","","","","20830","","","","1988-12-04","","","HumanObservation","present","","","","true","true"
"baef01bc-4acb-4fea-9868-f7cd8c4f7725","","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","Elanus scriptus","Letter-winged Kite","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr570","Historical Bird Atlas","","","","","CC-BY-NC","","","","-36.76","144.28","","-36.76","144.28","","9000.0","Australia","Victoria","Greater Bendigo (C)","","Victorian Midlands","","","","","","","","","","","","","HumanObservation","present","","","","true","true"
"b9edcf72-e081-4140-9b4f-82ad15ce06f1","","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","Elanus scriptus","Letter-winged Kite","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr570","Historical Bird Atlas","","","","","CC-BY-NC","","","","-21.11","137.65","","-21.11","137.65","","27000.0","Australia","Northern Territory","Barkly (S)","","Mitchell Grass Downs","","","","","","","","","","","","","HumanObservation","present","","","","true","true"
"b9b31783-c2f0-4788-9273-2743f4e9ed8d","","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","","Letter-winged Kite","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr570","Historical Bird Atlas","","","","","CC-BY-NC","","","","-15.5","123.2","","-15.5","123.2","","9000.0","Australia","Western Australia","","Northwest Shelf Transition","","","","","","","","","","","","","","HumanObservation","present","","","","true","false"
"b9b11219-411a-4aca-aa74-e56b486bf3d7","","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","Elanus scriptus","Letter-winged Kite","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr570","Historical Bird Atlas","","","","","CC-BY-NC","","","","-34.43","150.88","","-34.43","150.88","","9000.0","Australia","New South Wales","Wollongong (C)","","Sydney Basin","","","","","","","","","","","","","HumanObservation","present","","","","true","true"
"b9afdd20-8df9-4eeb-bb62-c47e35a843fc","","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","","""Letter-winged Kite""","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr571","First Bird Atlas","","","","","CC-BY-NC","","","","-26.5","132.5","","-26.5","132.5","","54000.0","Australia","South Australia","Anangu Pitjantjatjara (AC)","","Finke","","","","","","","","","","","","","HumanObservation","present","","","","true","true"
"b8f0dd66-94dc-4196-a686-c9a7afd87660","","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","","Letter-winged Kite","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr570","Historical Bird Atlas","","","","","CC-BY-NC","","","","-18.1","125.8","","-18.1","125.8","","9000.0","Australia","Western Australia","Derby-West Kimberley (S)","","Dampierland","","","","","","","","","","","","","HumanObservation","present","","","","true","true"
"b8847e88-0aaa-4095-9173-a41401d4199b","OPB556029-12","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","","Letter-winged Kite","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr365","SA Fauna (BDBSA)","","","","","CC-BY 4.0 (Int)","","","","-26.4","135.3","WGS84","-26.4","135.3","","10050.0","Australia","South Australia","Unincorporated SA","","Stony Plains","","","","","2","KOVAC K. Kelli-Jo","","","","","","","HumanObservation","present","","","","true","true"
"b7b8f49a-82c5-41d6-9320-3df648a87b43","","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","""Elanus scriptus""","""Letter-winged Kite""","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr571","First Bird Atlas","","","","","CC-BY-NC","","","","-12.41","130.91","","-12.41","130.91","","9000.0","Australia","Northern Territory","Darwin (C)","","Darwin Coastal","","","","","","","","","","","","","HumanObservation","present","","","","true","true"
"b7a2480a-3650-47e6-a841-f5db40adc1bd","","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","Elanus scriptus","Letter-winged Kite","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr570","Historical Bird Atlas","","","","","CC-BY-NC","","","","-33.23","144.56","","-33.23","144.56","","54000.0","Australia","New South Wales","Central Darling (A)","","Riverina","","","","","","","","","","","","","HumanObservation","present","","","","true","true"
"b73fea54-6908-4944-8013-dd6f8fa52b45","","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","""Elanus scriptus""","""Letter-winged Kite""","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr571","First Bird Atlas","","","","","CC-BY-NC","","","","-25.50","131.50","","-25.5","131.5","","54000.0","Australia","Northern Territory","MacDonnell (S)","","Great Sandy Desert","","","","","","","","","","","","","HumanObservation","present","","","","true","true"
"b727053f-ba74-4d9f-b292-fc028605260f","","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","","Letter-winged Kite","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr570","Historical Bird Atlas","","","","","CC-BY-NC","","","","-34.3","115.2","","-34.3","115.2","","9000.0","Australia","Western Australia","Augusta-Margaret River (S)","","Warren","","","","","","","","","","","","","HumanObservation","present","","","","true","true"
"b5dcc0aa-4ecf-4944-acb8-6046c8419cac","","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","","""Letter-winged Kite""","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr571","First Bird Atlas","","","","","CC-BY-NC","","","","-33.5","118.5","","-33.5","118.5","","54000.0","Australia","Western Australia","Kent (S)","","Mallee","","","","","","","","","","","","","HumanObservation","present","","","","true","true"
"b5645c7b-4770-416a-bf47-3de33c952a19","","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","","Letter-winged Kite","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr359","BirdLife Australia, Birdata","","","","","CC-BY-NC","","","","-29.2","140.1","AGD84/66","-29.2","140.1","","","Australia","South Australia","Unincorporated SA","","Simpson Strzelecki Dunefields","","","","","2","","","","","","","","HumanObservation","present","","","","true","true"
"b553c5a5-43a7-4eca-9e46-bbd81f497c75","","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","""Elanus scriptus""","""Letter-winged Kite""","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr571","First Bird Atlas","","","","","CC-BY-NC","","","","-25.50","140.50","","-25.5","140.5","","54000.0","Australia","Queensland","Diamantina (S)","","Channel Country","","","","","","","","","","","","","HumanObservation","present","","","","true","true"
